author_username,game_title,content,imageUrl,likes_count
SoulsSlayer99,Elden Ring,Acabo de matar a Malenia después de 47 intentos. Me tiemblan las manos. Este juego es puro arte y puro sufrimiento a partes iguales. 🔥,,0
IssacGamer,The Witcher 3: Wild Hunt,Empecé el DLC de Hearts of Stone anoche. ¿Cómo puede ser mejor que el juego principal? Gaunter O'Dimm es uno de los mejores villanos de la historia.,,0
ZeldaQueen,The Legend of Zelda: Tears of the Kingdom,La mecánica del Ultrahand cambió para siempre mi forma de entender los puzles. Me pasé 3 horas construyendo máquinas solo en el área de tutorial.,,0
PixelWitch,Hollow Knight,"Opinión caliente: Hollow Knight es el mejor metroidvania jamás creado. El lore, la atmósfera, los jefes. Nada se le acerca ni de lejos.",,0
CosmicRaider,Valorant,¡Por fin llegué a Radiante esta temporada! 8 meses de grind no mienten. Aunque el nuevo agente está completamente roto la verdad.,,0
LootGoblin,Hades,Hades demuestra que los roguelikes pueden tener una narrativa increíble. Llevo 40 runs y sigo encontrando diálogos nuevos. Supergiant es intocable.,,0
RetroSamurai,Persona 5 Royal,Los Phantom Thieves son el mejor cast de la historia de los JRPGs. Refutadme. Y la música es un crimen que no suene en todos lados.,,0
StormBreaker,Apex Legends,"Nueva temporada de ranked y la meta ha cambiado completamente. Los mains de Wraith que se levanten o que se sienten, supongo 😂",,0
NinjaKira,Celeste,"Celeste es el juego perfecto. Controles perfectos, historia perfecta, banda sonora perfecta. Si no lo has jugado, deja de leer esto y ve a jugarlo ya.",,0
IssacGamer,God of War,La técnica de plano secuencia en God of War 2018 sigue siendo uno de los logros técnicos más impresionantes del videojuego. Una clase magistral.,,0
SoulsSlayer99,Bloodborne,Bloodborne es la obra maestra absoluta de FromSoftware y el hecho de que siga siendo exclusivo de PS4 en 2024 es un crimen contra la humanidad.,,0
PixelWitch,Stardew Valley,Día 247 de mi partida de Stardew. Pierre sigue siendo mi enemigo número uno. NUNCA compraré en su tienda. Jamás.,,0
ZeldaQueen,Super Mario Odyssey,"Me pasé todo un sábado recolectando lunas y escuchando Jump Up, Super Star en bucle. Cero arrepentimientos. Lo repetiría.",,0
LootGoblin,Diablo IV,La temporada 4 renovó completamente el sistema de loot y por fin se siente satisfactorio. Llegué tarde a la fiesta pero estoy enganchado.,,0
CosmicRaider,League of Legends,15 años jugando a esto y todavía me inclino ante los comentarios de 'diff jungla'. Algunas cosas nunca cambian 😭,,0
RetroSamurai,Final Fantasy VII Remake,Jugando FF7 Remake por primera vez conociendo el original. Los momentos de Aerith golpean diferente. No estaba preparado para esto.,,0
StormBreaker,Counter-Strike 2,El sistema subtick de CS2 costó adaptarse pero ahora se siente más limpio que nunca. La escena competitiva está en su mejor momento.,,0
NinjaKira,Titanfall 2,La campaña de Titanfall 2 es criminalmente infravalorada. El nivel del viaje en el tiempo es uno de los mejores momentos diseñados en un FPS.,,0
IssacGamer,Outer Wilds,Acabo de terminar Outer Wilds. Necesito tumbarme. Ese final. Nunca podré jugarlo por primera vez de nuevo y eso me entristece muchísimo.,,0
PixelWitch,Undertale,Undertale salió hace 9 años y todavía me emociona. Toby Fox creó algo verdaderamente especial que no se puede repetir ni imitar.,,0